,LSOA11CD,SEC1_chg,SEC2_chg,SEC3_chg,SEC4_chg,SEC5_chg,SEC6_chg,SEC7_chg,hseP_chg,inc_chg,owned_chg,socRent_chg,pteRent_chg,inc_01,hseP_01
2062,E01002112,3.28,2.84,2.73,3.49,-0.69,0.78,1.12,87.75280899,34.12938331,-6.220000000000001,-1.36,5.15,33.08,222.5
2063,E01002113,4.51,3.34,2.87,2.43,-0.26,1.12,1.29,108.8607595,32.12335368,-1.4500000000000002,-2.49,2.2600000000000002,31.13,276.5
2064,E01002114,6.96,1.28,2.77,4.07,-0.05,1.79,0.67,76.71009772,35.9223301,-7.53,-3.6399999999999997,4.97,26.78,153.5
2065,E01002115,7.11,1.18,-0.47,3.09,-0.45,1.4,0.78,94.89247312,35.47949848,-3.6400000000000006,-1.5999999999999999,4.63,29.51,186.0
2066,E01002116,3.43,5.2,2.85,2.78,-0.14,2.58,0.49,35.0877193,31.98565373,-9.110000000000001,-2.41,9.629999999999999,30.67,285.0
2067,E01002117,3.87,-2.43,0.22,0.09,0.83,-0.08,2.03,60.42780749,30.64250412,-18.46,6.95,10.940000000000001,30.35,187.0
2068,E01002118,-0.79,-1.76,0.66,6.15,2.36,1.71,2.24,84.0,26.49173257,-19.43,-1.01,17.540000000000003,27.82,125.0
2069,E01002119,-2.54,2.82,1.09,8.2,-1.19,-0.59,3.71,26.98961938,33.46487766,-16.42,-0.95,15.6,25.34,144.5
2070,E01002120,-0.81,-0.98,1.05,9.12,-0.18,2.36,0.42,102.970297,32.64248705,-6.4,1.09,4.09,23.16,151.5
2071,E01002121,-0.34,-1.49,2.33,9.18,-1.39,-1.44,1.78,75.67989997,34.8609479,-9.67,-2.79,10.81,25.53,159.95
2072,E01002122,-0.68,-5.32,-0.71,9.18,-0.57,2.59,3.2,15.15151515,31.25,-16.150000000000002,0.18000000000000005,14.69,26.4,165.0
2073,E01002123,-0.39,-1.88,0.2,9.92,-0.56,1.59,2.1,87.11656442,35.03826017,-15.569999999999999,-1.06,15.0,24.83,163.0
2074,E01002124,-0.61,0.83,-1.65,5.87,-0.81,1.04,2.32,72.41379309999998,32.45508982,-15.340000000000002,2.17,11.149999999999999,25.05,145.0
2075,E01002125,-3.17,-0.79,1.2,11.88,0.08,1.31,1.48,56.73981191,33.88625592,-13.97,-0.88,12.51,25.32,159.5
2076,E01002126,3.46,-2.28,-0.63,2.92,0.21,1.83,1.17,80.078125,40.75568599,-20.86,-1.12,18.119999999999997,27.26,128.0
2077,E01002127,2.45,-0.51,1.8,3.3,0.15,-0.06,1.29,92.15686275,41.30194925,-12.4,-3.27,14.12,27.19,127.5
2078,E01002128,-0.56,-4.28,0.45,3.18,2.15,2.51,3.45,70.85020243,36.38409602,-17.46,-2.29,18.470000000000002,26.66,123.5
2079,E01002129,2.05,0.43,-0.38,4.44,-1.23,1.13,0.64,84.23076923,38.42257598,-14.06,1.28,11.01,27.64,130.0
2080,E01002130,0.91,-5.87,-1.03,5.19,1.14,3.39,1.76,123.3796296,38.05999221,-14.85,-5.12,19.86,25.67,108.0
2081,E01002131,2.13,-1.74,3.95,4.48,0.53,3.0,-1.04,109.61538459999998,44.66895959,-2.37,-6.75,5.180000000000001,23.26,130.0
2082,E01002132,-0.84,-0.61,3.62,3.97,-0.32,1.39,0.34,51.37614679,39.56788133,-8.4,-3.82,10.07,31.01,218.0
2083,E01002133,-0.31,-0.73,2.47,2.04,-0.7,4.38,1.58,152.63157890000005,32.02697008,-10.219999999999999,5.010000000000001,2.54,23.73,83.125
2084,E01002134,5.33,-2.52,1.24,5.35,-0.41,0.68,0.89,56.75675676,40.42485732,-7.22,-1.63,5.039999999999999,31.54,185.0
2085,E01002135,0.49,-0.71,-0.82,8.58,-1.28,3.31,2.12,143.13725490000004,40.18975332,-10.13,-3.99,10.96,26.35,102.0
2086,E01002136,1.54,0.35,1.9,4.49,-0.25,1.53,0.25,164.7321429,38.03498325,-12.75,-1.26,12.63,26.87,112.0
2087,E01002137,-2.36,-0.2,-2.94,1.97,-1.78,-1.63,-1.28,81.81818182,43.25595985,-0.2699999999999996,-7.3100000000000005,-6.76,31.88,189.75
2088,E01002138,2.1,-2.67,-0.14,4.51,-1.44,1.85,0.82,83.15018315,35.48387097,-15.04,0.33,14.139999999999999,26.04,136.5
2089,E01002139,-1.62,1.35,2.17,1.31,-2.62,4.13,2.74,64.80686695,25.33219031,-3.22,0.41000000000000003,1.0,23.33,116.5
2090,E01002140,-0.07,-3.45,5.12,4.37,0.3,1.91,-0.25,88.40579709999999,34.17142857,-8.77,0.15999999999999998,7.6899999999999995,26.25,138.0
2091,E01002141,1.67,-0.89,5.57,4.89,0.34,0.17,0.75,127.2727273,37.15766099,-4.29,-1.37,4.67,27.02,165.0
2092,E01002142,-2.39,0.9,3.66,3.23,-0.37,1.62,1.16,117.7700348,33.39235127,-7.0600000000000005,-1.03,7.2700000000000005,28.24,143.5
2093,E01002143,4.57,-2.05,2.29,-1.6,-0.38,2.45,-0.86,95.02868069,35.50810597,-7.699999999999999,-1.54,9.049999999999999,25.29,130.75
2094,E01002144,3.79,2.9,2.42,3.65,-0.62,0.81,0.75,134.2606149,38.42380641,-0.5700000000000001,-0.9099999999999999,0.6699999999999999,30.58,204.9
2095,E01002145,3.08,0.55,2.89,3.33,1.1,1.13,2.69,140.0,39.06015038,-4.16,-2.69,6.62,26.6,135.0
2096,E01002146,6.06,3.49,2.96,2.22,1.19,0.32,-0.76,95.55555556,42.21741816,-2.5999999999999996,-0.010000000000000009,2.03,32.38,225.0
2097,E01002147,4.29,0.03,3.83,3.15,0.33,2.22,1.15,192.0,38.77005348,-1.37,0.19000000000000003,-0.8100000000000005,33.66,250.0
2098,E01002148,2.37,3.03,2.11,2.48,0.27,1.54,0.64,148.17073169999995,33.9297548,-3.1100000000000003,-1.18,2.06,30.18,164.0
2099,E01002149,4.85,4.89,3.45,2.49,-1.92,0.79,0.5,77.96610169,38.88727905,2.16,-1.01,-0.52,34.51,295.0
2100,E01002150,0.5,-3.17,5.96,2.7,0.9,1.45,1.75,89.65517241,30.59187887,-7.609999999999999,-3.99,9.51,29.06,145.0
2101,E01002151,2.78,0.33,2.92,2.56,-2.28,4.14,-1.87,100.040008,29.40933499,-7.22,2.5,2.2300000000000004,24.21,124.975
2102,E01002152,6.83,-1.29,3.98,1.79,0.41,-0.56,1.73,0.408163265,35.01445551,-6.03,-0.35,4.9799999999999995,31.13,245.0
2103,E01002153,4.06,2.43,2.82,4.27,-0.08,1.23,0.48,90.30732861,38.24461343,-3.4499999999999997,-0.33,3.2700000000000005,31.56,211.5
2104,E01002154,1.3,-0.63,1.7,3.71,0.77,2.13,1.66,90.29475198,34.67606579,-7.07,-1.13,6.98,29.79,173.875
2105,E01002155,3.16,4.22,3.17,0.82,0.24,0.23,-0.94,146.1917218,40.20486556,-2.46,-0.38,1.8800000000000001,31.24,162.475
2106,E01002156,3.51,3.56,2.08,1.04,-0.52,0.45,0.55,63.26530612,35.11591963,-4.5,0.59,2.9200000000000004,32.35,245.0
